id,kepka_shoots_id,directus_files_id
77de47cb-b29a-49ce-a632-1f9b26d20242,fc136715-8acb-4932-af48-118c68872d21,27d27594-79b8-498e-bd79-b75c9d5d4b26
62cf902d-505f-442c-b3a3-c0747d54f55c,fc136715-8acb-4932-af48-118c68872d21,12fc6811-057e-4126-9cf2-f54274f31dbc
df69d407-8658-4174-9804-344a58426a19,fc136715-8acb-4932-af48-118c68872d21,6dec8407-82e3-4ff7-906b-b90883d15007
c45058af-1dcd-4622-892f-3c357718cc80,fc136715-8acb-4932-af48-118c68872d21,24046b3e-6c74-48d5-a47e-857af8602620
abfef6a8-d6ec-4d96-9890-0a13ea6bad5d,fc136715-8acb-4932-af48-118c68872d21,256b4f19-6e6a-473d-87f5-b078a409ded4
13e32f36-3334-429f-a471-1fa3df795247,fc136715-8acb-4932-af48-118c68872d21,d10f2b28-17d0-4e90-86da-d37093219792
391909c8-b676-48e4-aa45-8ca8caf71758,fc136715-8acb-4932-af48-118c68872d21,abd59c19-6ddb-4e56-8f0e-ee29b57df673
a7890b12-5534-4fa5-8e55-4512227f1cd3,fc136715-8acb-4932-af48-118c68872d21,97e62ece-2096-49c2-bccd-325be51f87df
d045c9dc-b966-4b83-9022-61c23084fce2,fc136715-8acb-4932-af48-118c68872d21,f0328868-6a59-4ece-812c-541db75980d1
f044adfd-c836-48d3-8b12-a47d7b73437c,fc136715-8acb-4932-af48-118c68872d21,3b79e8e3-bbb7-43ea-a6fe-b3942a6f74cb
a852d5f3-64b6-47dc-81b6-36941f64ba9f,fc136715-8acb-4932-af48-118c68872d21,9956f4b5-1cb8-4421-87bb-e956838d5700
0c11081f-cbb3-44c2-89d4-b584bae42488,fc136715-8acb-4932-af48-118c68872d21,482d885b-7e85-4c66-9f0e-ceb99e5b40b6
d74bdde5-1f83-4b58-84c7-2cb6bd96f8fb,fc136715-8acb-4932-af48-118c68872d21,cc950350-b84e-4b9d-b8cd-07525122e2ea
a80a37b0-9f9a-48c0-82e6-e885607a1ba8,fc136715-8acb-4932-af48-118c68872d21,558390c2-9690-4985-9423-ce8c2992815c
ae45405c-5d36-4423-bf26-c84124bccf0b,fc136715-8acb-4932-af48-118c68872d21,947877fe-21c8-4b69-bfe6-4085da6e62b0
228b21d2-4262-4ef4-96ce-e6d9b2ee073f,fc136715-8acb-4932-af48-118c68872d21,34cc9229-04d0-48eb-acf3-de4b85884e6b
c3197442-2782-452c-aea8-526a735e37f3,fc136715-8acb-4932-af48-118c68872d21,041968f9-b1b2-4438-9672-e38730f25a87
c53cdbf5-f49e-44aa-8324-d28fa383b17c,fc136715-8acb-4932-af48-118c68872d21,3c6101cf-a4f6-43b4-9bd2-c90b64e5598a
404fc743-6bf2-4a57-94c3-e593bd36a29a,fc136715-8acb-4932-af48-118c68872d21,86af577a-2418-4385-80a7-884a03a83105
4faedc1e-55ad-4b47-b376-bf123748c9e0,fc136715-8acb-4932-af48-118c68872d21,0d4b7850-41f6-4ff4-b637-cfb64e5896f1
